Time (s),FrameTime (ms)
1.64655,25.257
2.00865,20.603
3.0173,23.987
4.01123,23.783
5.01859,21.976
6.02183,22.696
7.02097,22.019
8.01182,21.047
9.00554,20.779
10.0206,20.698
11.0097,22.328
12.0023,21.025
13.007,22.152
14.0188,20.775
15.0181,21.575
16.0065,23.115
17.0077,20.966
18.0225,22.86
19.0052,23.767
20.0039,20.72
21.0065,20.673
22.0023,21.346
23.0159,21.705
24.018,21.091
25.0147,20.573
26.0114,20.558
27.0117,23.396
28.0145,21.175
29.0068,20.548
30.0022,20.756
31.019,20.522
32.0151,20.689
33.0024,21.107
34.004,20.961
35.0013,20.81
36.0037,20.736
37.0074,20.744
38.0014,21.082
39.0135,20.766
40.0095,20.815
41.0201,21.073
42.0106,20.9
43.0067,21.106
44.007,21.637
45.0095,24.295
46.0095,21.847
47.0137,21.253
48.0069,21.559
49.0201,21.049
50.0094,21.133
51.0179,20.766
52.016,21.915
53.0122,22.841
54.0114,23.769
55.0073,21.11
56.0148,23.628
57.0099,22.167
58.019,23.628
59.0131,21.523
60.0131,22.523
